package,version,filename,packagetype,python_version,url,size,sha256,local_path,status,error
ai-agent-passport,0.2.2,ai_agent_passport-0.2.2.tar.gz,sdist,source,https://files.pythonhosted.org/packages/df/d5/d4cee9e98c0566a30114090f92b5ec29356137b5964162d97b65be2c9e98/ai_agent_passport-0.2.2.tar.gz,18481,5636c21fdb254a511b56fd9a34e83e9b077e91ad72a42c81a7528f4acfac3f28,data/artifacts/pypi/ai-agent-passport/0.2.2/ai_agent_passport-0.2.2.tar.gz,downloaded,
aio-recaptcha,0.1.0,,,,https://pypi.org/pypi/aio-recaptcha/json,0,,,no_recent_release_files,
aiden-first-pypi,0.1.2,aiden_first_pypi-0.1.2-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/29/6c/606bd51f7991aa6eebefad0750f13f402f44a8eac0b27156c681dab69905/aiden_first_pypi-0.1.2-py3-none-any.whl,1397,5a26c79626e54283d0501c5f6c61099d43954745d53d963300206f0074076a27,data/artifacts/pypi/aiden-first-pypi/0.1.2/aiden_first_pypi-0.1.2-py3-none-any.whl,downloaded,
aiden-first-pypi,0.1.2,aiden_first_pypi-0.1.2.tar.gz,sdist,source,https://files.pythonhosted.org/packages/20/84/2840379dc559804a397c8faf838d6f5b0693ab5010f487ed9de5f6a17535/aiden_first_pypi-0.1.2.tar.gz,798,aa65e881e1ee54a96db48c05a3f6293feca51a0262e2fd8c519edeb37e6b87a3,data/artifacts/pypi/aiden-first-pypi/0.1.2/aiden_first_pypi-0.1.2.tar.gz,downloaded,
airscooter-urban-physiology-plugin,0.0.1,,,,https://pypi.org/pypi/airscooter-urban-physiology-plugin/json,0,,,no_recent_release_files,
aifunction-nekumelon,0.0.2,AIFunction_nekumelon-0.0.2-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/8c/b0/9d0ee7080d524eb69b9677922814ed4edca6a33475f430b1c78c6e34e8d9/AIFunction_nekumelon-0.0.2-py3-none-any.whl,2899,4dcd8b8a7389a84941498a87d6b7b651916459974b9401f4cc77876dd55e4cc9,data/artifacts/pypi/aifunction-nekumelon/0.0.2/AIFunction_nekumelon-0.0.2-py3-none-any.whl,downloaded,
aifunction-nekumelon,0.0.2,AIFunction-nekumelon-0.0.2.tar.gz,sdist,source,https://files.pythonhosted.org/packages/92/3a/90ff60c3e2cd124b8cbc698b85daff022450b941c9aeede4cb82bef224b6/AIFunction-nekumelon-0.0.2.tar.gz,2388,c5d87f0bbb84b1f5dda8f770c4a5ddc1c5f66f7ccc4355ec080697fa7ef56913,data/artifacts/pypi/aifunction-nekumelon/0.0.2/AIFunction-nekumelon-0.0.2.tar.gz,downloaded,
ailp,0.3,ailp-0.3-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/10/36/8af97ce6aa888a72da99f696b60ea5c35ab4c0e5972b88146f1393354c2f/ailp-0.3-py3-none-any.whl,981,d39a075860daf61df13813b99af6c9415b9bf53e40a42062de9033ca31b1db9c,data/artifacts/pypi/ailp/0.3/ailp-0.3-py3-none-any.whl,downloaded,
ailp,0.3,ailp-0.3.tar.gz,sdist,source,https://files.pythonhosted.org/packages/03/4d/28e5ce523bc1fdc587f6b71eca4c7fed2414a2f772f3fd99f437759d780a/ailp-0.3.tar.gz,795,ca2e6988214917c170fa8f1dce74139fa61ecdbf30fb3404ee6a130d7473900f,data/artifacts/pypi/ailp/0.3/ailp-0.3.tar.gz,downloaded,
ai-research-agent,1.1.0,ai_research_agent-1.1.0-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/5d/07/48b3b06ae1e78861db28f30ebbfb57663cc4cf7ed08a25387971e3d460c6/ai_research_agent-1.1.0-py3-none-any.whl,403170,ce670efe29d186a05b24ab6b66b6fb6bf1a7b33a3d29bef6452f0cee4a037987,data/artifacts/pypi/ai-research-agent/1.1.0/ai_research_agent-1.1.0-py3-none-any.whl,downloaded,
ai-research-agent,1.1.0,ai_research_agent-1.1.0.tar.gz,sdist,source,https://files.pythonhosted.org/packages/6e/2c/3a25de8e6e8d73fc2a8ae6bac09583fb315848b35c2e736e70c649944d84/ai_research_agent-1.1.0.tar.gz,394445,ebd837eda89fe4f9e5d21402fcbb8c1ac3a1ead7a92f2f7b23c98d05a5787c0a,data/artifacts/pypi/ai-research-agent/1.1.0/ai_research_agent-1.1.0.tar.gz,downloaded,
aleksis-builddeps,2022.6.1,AlekSIS_Builddeps-2022.6.1-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/b1/54/74561c2fa1ff44076029196040f3129a57451e06611636a4c3a3ae7d22de/AlekSIS_Builddeps-2022.6.1-py3-none-any.whl,1698,dcc139c59e75ac91845476f83c3c7703d2f54dc1334f0c1d9a141ff27386092a,data/artifacts/pypi/aleksis-builddeps/2022.6.1/AlekSIS_Builddeps-2022.6.1-py3-none-any.whl,downloaded,
aleksis-builddeps,2022.6.1,AlekSIS-Builddeps-2022.6.1.tar.gz,sdist,source,https://files.pythonhosted.org/packages/62/c8/e39a4c8ea76520ba1e3513a297374f6b6d3a8af6f985704f227d4ee97bf5/AlekSIS-Builddeps-2022.6.1.tar.gz,1990,dcfa9854ced76e6ef07373a9744f9e1681534ed25b39200f6c9992bb2a159365,data/artifacts/pypi/aleksis-builddeps/2022.6.1/AlekSIS-Builddeps-2022.6.1.tar.gz,downloaded,
