case_id,tool,python_tag,finding,original_status,original_reason,replay_returncode,replay_signal,replay_status,replay_reason,case_dir
028-decompyle3-cpython-38-cpython-38-770a9e21632b,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-770a9e21632b.pyc,exit_-6,"Fatal Python error: non-string found in code slot Python runtime state: initialized Current thread 0x00007ecd57136740 (most recent call first): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/xdis/load.p...",-6,SIGABRT,Process abort,SIGABRT,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/028-decompyle3-cpython-38-cpython-38-770a9e21632b
029-decompyle3-cpython-38-cpython-38-7b90ad31f7e8,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-7b90ad31f7e8.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/029-decompyle3-cpython-38-cpython-38-7b90ad31f7e8
030-decompyle3-cpython-38-cpython-38-9a9fb65de558,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-9a9fb65de558.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/030-decompyle3-cpython-38-cpython-38-9a9fb65de558
031-decompyle3-cpython-38-cpython-38-c2fa264aa16f,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-c2fa264aa16f.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/031-decompyle3-cpython-38-cpython-38-c2fa264aa16f
032-decompyle3-cpython-38-cpython-38-b0c2992e0f7d,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-b0c2992e0f7d.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,TypeError,argument of type 'int' is not iterable,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/032-decompyle3-cpython-38-cpython-38-b0c2992e0f7d
033-decompyle3-cpython-38-cpython-38-c18f3ce00206,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-c18f3ce00206.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/033-decompyle3-cpython-38-cpython-38-c18f3ce00206
034-decompyle3-cpython-38-cpython-38-d9e88510d3f6,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-d9e88510d3f6.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,Traceback,,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/034-decompyle3-cpython-38-cpython-38-d9e88510d3f6
035-decompyle3-cpython-38-cpython-38-dc7186b132f7,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-dc7186b132f7.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/035-decompyle3-cpython-38-cpython-38-dc7186b132f7
036-decompyle3-cpython-38-cpython-38-db7c5002a77c,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-db7c5002a77c.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/036-decompyle3-cpython-38-cpython-38-db7c5002a77c
037-decompyle3-cpython-38-cpython-38-74d96dc3cf62,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-74d96dc3cf62.pyc,timeout,timeout_after_600s,-15,SIGTERM,Signal termination,SIGTERM,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/037-decompyle3-cpython-38-cpython-38-74d96dc3cf62
