case_id,copied_pyc,status,reason,artifact,package,version,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,tools,statuses,reason_categories,reasons
4a9615370a77,bestfit-0.3-cpython-38-4a9615370a77.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/yapf/yapflib/__pycache__/format_decision_state.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
3a9ba5b97610,bestfit-0.3-cpython-38-3a9ba5b97610.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/yapf/yapflib/__pycache__/unwrapped_line.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
1e7c5344514d,biotech-1.1.10-cpython-310-1e7c5344514d.pyc,copied,,biotech-1.1.10.tar.gz,biotech,1.1.10,tar,biotech-1.1.10/venues/stages/biotech/procedures/aggregator_procedure/process/keg/spaces/__pycache__/done_with_path.cpython-310.pyc,cpython-310,3439,False,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,marshal:error:marshal_failed: || decompyle3:exit_2:/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-310/lib/python3.10/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
5b5567cb1b43,causal-test-again-0.1.67-cpython-38-5b5567cb1b43.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/analyser_model/__pycache__/test_analyser.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-y1xzynox/sample.pyc"
f25f473fe0ad,causal-test-again-0.1.67-cpython-38-f25f473fe0ad.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/analyser_model/__pycache__/test_data.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-z2zp0u8v/sample.pyc"
f9f41a15b793,causal-test-again-0.1.67-cpython-38-f9f41a15b793.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/analyser_model/__pycache__/test_fitter.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-4w3ysdnp/sample.pyc"
9e99931aa703,causal-test-again-0.1.67-cpython-38-9e99931aa703.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/configuration_model/__pycache__/test_base_objects.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-ub6rm24d/sample.pyc"
74b9fa0c9512,causal-test-again-0.1.67-cpython-38-74b9fa0c9512.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/configuration_model/__pycache__/test_configuration.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-kbgpxzli/sample.pyc"
f666d9a7ded0,causal-test-again-0.1.67-cpython-38-f666d9a7ded0.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/message/__pycache__/test_message.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-vkp_r_wu/sample.pyc"
7d2008c25df8,causal-test-again-0.1.67-cpython-38-7d2008c25df8.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/result_model/__pycache__/test_result.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-_lcy7k9e/sample.pyc"
a6c4e05523ec,causal-test-again-0.1.67-cpython-38-a6c4e05523ec.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/pipeline/__pycache__/test_pipeline.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-zfh_ypcr/sample.pyc"
a9eb801929d9,causal-test-again-0.1.67-cpython-38-a9eb801929d9.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/pipeline/__pycache__/test_power_calculators.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-6uvcqvm2/sample.pyc"
de8c5f827edc,causal-test-again-0.1.67-cpython-38-de8c5f827edc.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_ab_preprocess_method.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-aafgd9de/sample.pyc"
1094c7a007ab,causal-test-again-0.1.67-cpython-38-1094c7a007ab.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_common_utils.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-7pg4ydnp/sample.pyc"
0122d6d0373a,causal-test-again-0.1.67-cpython-38-0122d6d0373a.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_config_utils.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-2erd2map/sample.pyc"
ea2f0a29138a,causal-test-again-0.1.67-cpython-38-ea2f0a29138a.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_constants.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-l215p8bw/sample.pyc"
