sample_sets,roundtrip_primary,roundtrip_secondary,artifact,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,pylingual,pylingual_level,decompyle3,decompyle3_level
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/mycarehub-django/0.0.16/mycarehub_django-0.0.16.tar.gz,tar,mycarehub_django-0.0.16/mycarehub/common/__pycache__/admin.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/simo/3.5.42/simo-3.5.42.tar.gz,tar,simo-3.5.42/src/simo/generic/__pycache__/forms.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/teste-gces/0.2.7/teste_gces-0.2.7.tar.gz,tar,teste_gces-0.2.7/src/parser/__pycache__/feature_engineering_parser.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/hector-observations-pipeline/1.4/Hector-Observations-Pipeline-1.4.tar.gz,tar,Hector-Observations-Pipeline-1.4/hop/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/workadays/2023.12.30/workadays-2023.12.30.tar.gz,tar,workadays-2023.12.30/workadays/__pycache__/holidays.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/data-importer/3.1.5/data-importer-3.1.5.linux-x86_64.tar.gz,tar,home/valder/Sandbox/data-importer/.venv/lib/python3.8/site-packages/data_importer/django_migrations/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/ezfnsetupv2/0.1.0/EZFNSetupV2-0.1.0-py3-none-any.whl,wheel,EZFNSetupV2/classes/client/cogs/party.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/apache-superset-db/1.5.1.2/apache_superset_db-1.5.1.2-py3-none-any.whl,wheel,superset/migrations/versions/__pycache__/6d20ba9ecb33_add_last_saved_at_to_slice_model.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bannercli/0.1.0/bannercli-0.1.0.linux-x86_64.tar.gz,tar,home/gitpod/.pyenv/versions/3.8.12/lib/python3.8/site-packages/bannercli/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/garpix-page/2.48.2/garpix_page-2.48.2.tar.gz,tar,garpix_page-2.48.2/garpix_page/utils/__pycache__/get_current_language_code_url_prefix.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
