case_id,tool,status,reason,package,version,artifact,artifact_type,pyc_path,copied_pyc,python_tag,magic_number,source_present,overall_level,overall_label,original_failed_tools,original_statuses,original_reason_categories,original_reasons,command_file,stdout_file,stderr_file
4a9615370a77,decompylepp,exit_1,PycBuffer::getByte(): Unexpected end of stream,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/yapf/yapflib/__pycache__/format_decision_state.cpython-38.pyc,bestfit-0.3-cpython-38-4a9615370a77.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s,PycLens/data/rq2/failed_cases_decompylepp_traces/4a9615370a77-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/4a9615370a77-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/4a9615370a77-decompylepp.stderr.txt
3a9ba5b97610,decompylepp,exit_1,PycBuffer::getByte(): Unexpected end of stream,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/yapf/yapflib/__pycache__/unwrapped_line.cpython-38.pyc,bestfit-0.3-cpython-38-3a9ba5b97610.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s,PycLens/data/rq2/failed_cases_decompylepp_traces/3a9ba5b97610-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/3a9ba5b97610-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/3a9ba5b97610-decompylepp.stderr.txt
1e7c5344514d,decompylepp,exit_1,PycFile::getByte(): Unexpected end of stream,biotech,1.1.10,biotech-1.1.10.tar.gz,tar,biotech-1.1.10/venues/stages/biotech/procedures/aggregator_procedure/process/keg/spaces/__pycache__/done_with_path.cpython-310.pyc,biotech-1.1.10-cpython-310-1e7c5344514d.pyc,cpython-310,3439,False,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,marshal:error:marshal_failed: || decompyle3:exit_2:/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-310/lib/python3.10/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,PycLens/data/rq2/failed_cases_decompylepp_traces/1e7c5344514d-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/1e7c5344514d-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/1e7c5344514d-decompylepp.stderr.txt
5b5567cb1b43,decompylepp,exit_1,Bad MAGIC! Could not load file PycLens/data/rq2/failed_cases/causal-test-again-0.1.67-cpython-38-5b5567cb1b43.pyc,causal-test-again,0.1.67,causal_test_again-0.1.67.tar.gz,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/analyser_model/__pycache__/test_analyser.cpython-38-pytest-6.0.1.pyc,causal-test-again-0.1.67-cpython-38-5b5567cb1b43.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-y1xzynox/sample.pyc",PycLens/data/rq2/failed_cases_decompylepp_traces/5b5567cb1b43-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/5b5567cb1b43-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/5b5567cb1b43-decompylepp.stderr.txt
f25f473fe0ad,decompylepp,exit_1,Bad MAGIC! Could not load file PycLens/data/rq2/failed_cases/causal-test-again-0.1.67-cpython-38-f25f473fe0ad.pyc,causal-test-again,0.1.67,causal_test_again-0.1.67.tar.gz,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/analyser_model/__pycache__/test_data.cpython-38-pytest-6.0.1.pyc,causal-test-again-0.1.67-cpython-38-f25f473fe0ad.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-z2zp0u8v/sample.pyc",PycLens/data/rq2/failed_cases_decompylepp_traces/f25f473fe0ad-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/f25f473fe0ad-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/f25f473fe0ad-decompylepp.stderr.txt
f9f41a15b793,decompylepp,exit_1,Bad MAGIC! Could not load file PycLens/data/rq2/failed_cases/causal-test-again-0.1.67-cpython-38-f9f41a15b793.pyc,causal-test-again,0.1.67,causal_test_again-0.1.67.tar.gz,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/analyser_model/__pycache__/test_fitter.cpython-38-pytest-6.0.1.pyc,causal-test-again-0.1.67-cpython-38-f9f41a15b793.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-4w3ysdnp/sample.pyc",PycLens/data/rq2/failed_cases_decompylepp_traces/f9f41a15b793-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/f9f41a15b793-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/f9f41a15b793-decompylepp.stderr.txt
9e99931aa703,decompylepp,exit_1,Bad MAGIC! Could not load file PycLens/data/rq2/failed_cases/causal-test-again-0.1.67-cpython-38-9e99931aa703.pyc,causal-test-again,0.1.67,causal_test_again-0.1.67.tar.gz,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/configuration_model/__pycache__/test_base_objects.cpython-38-pytest-6.0.1.pyc,causal-test-again-0.1.67-cpython-38-9e99931aa703.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-ub6rm24d/sample.pyc",PycLens/data/rq2/failed_cases_decompylepp_traces/9e99931aa703-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/9e99931aa703-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/9e99931aa703-decompylepp.stderr.txt
74b9fa0c9512,decompylepp,exit_1,Bad MAGIC! Could not load file PycLens/data/rq2/failed_cases/causal-test-again-0.1.67-cpython-38-74b9fa0c9512.pyc,causal-test-again,0.1.67,causal_test_again-0.1.67.tar.gz,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/configuration_model/__pycache__/test_configuration.cpython-38-pytest-6.0.1.pyc,causal-test-again-0.1.67-cpython-38-74b9fa0c9512.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-kbgpxzli/sample.pyc",PycLens/data/rq2/failed_cases_decompylepp_traces/74b9fa0c9512-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/74b9fa0c9512-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/74b9fa0c9512-decompylepp.stderr.txt
f666d9a7ded0,decompylepp,exit_1,Bad MAGIC! Could not load file PycLens/data/rq2/failed_cases/causal-test-again-0.1.67-cpython-38-f666d9a7ded0.pyc,causal-test-again,0.1.67,causal_test_again-0.1.67.tar.gz,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/message/__pycache__/test_message.cpython-38-pytest-6.0.1.pyc,causal-test-again-0.1.67-cpython-38-f666d9a7ded0.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-vkp_r_wu/sample.pyc",PycLens/data/rq2/failed_cases_decompylepp_traces/f666d9a7ded0-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/f666d9a7ded0-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/f666d9a7ded0-decompylepp.stderr.txt
7d2008c25df8,decompylepp,exit_1,Bad MAGIC! Could not load file PycLens/data/rq2/failed_cases/causal-test-again-0.1.67-cpython-38-7d2008c25df8.pyc,causal-test-again,0.1.67,causal_test_again-0.1.67.tar.gz,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/models/result_model/__pycache__/test_result.cpython-38-pytest-6.0.1.pyc,causal-test-again-0.1.67-cpython-38-7d2008c25df8.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-_lcy7k9e/sample.pyc",PycLens/data/rq2/failed_cases_decompylepp_traces/7d2008c25df8-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/7d2008c25df8-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/7d2008c25df8-decompylepp.stderr.txt
