artifact,package,version,artifact_type,source_less_pyc,total_pyc_in_artifact,source_less_pyc_pct_in_artifact,python_tags,top_level_paths,source_recoverable_pyc,source_recoverable_pct,dynamic_loading_indicator,dynamic_load_hits,keyword_categories,security_keyword_indicator
multiqc_vlad-1.30.dev20250821143134-py3-none-any.whl,multiqc-vlad,1.30.dev20250821143134,wheel,50,1300,3.85,cpython-311;cpython-312;cpython-313;cpython-38;cpython-39,multiqc,50,100.00,True,1,data;plugin;testing,no
multiqc_vlad-1.30.dev20250821143134.tar.gz,multiqc-vlad,1.30.dev20250821143134,tar,50,1300,3.85,cpython-311;cpython-312;cpython-313;cpython-38;cpython-39,multiqc_vlad-1.30.dev20250821143134,50,100.00,True,1,data;plugin;testing,no
ozi_core-1.21.28-cp310-none-any.whl,ozi-core,1.21.28,wheel,50,50,100.00,cpython-310,ozi_core,50,100.00,False,0,build;cli;network;testing,no
jahn_teller_dynamics-1.0.2.tar.gz,jahn-teller-dynamics,1.0.2,tar,49,60,81.67,cpython-310;cpython-312;cpython-313;cpython-39,jahn_teller_dynamics-1.0.2,49,100.00,True,1,data,no
langflow_law_base-0.0.98.tar.gz,langflow-law-base,0.0.98,tar,49,476,10.29,cpython-312,langflow_law_base-0.0.98,49,100.00,True,38,build;data,no
plateNumOCR-1.0.0.zip,platenumocr,1.0.0,zip,49,64,76.56,cpython-38,plateNumOCR-1.0.0,49,100.00,True,4,data;security,yes
isagellm_comm-0.5.4.15-py2.py3-none-any.whl,isagellm-comm,0.5.4.15,wheel,48,56,85.71,cpython-311,sagellm_comm,48,100.00,False,0,ml,no
isagellm_comm-0.5.4.15.tar.gz,isagellm-comm,0.5.4.15,tar,48,56,85.71,cpython-311,isagellm_comm-0.5.4.15,48,100.00,False,0,ml,no
create_leafmesh-2.1.3-py3-none-any.whl,create-leafmesh,2.1.3,wheel,47,47,100.00,cpython-314,create_leafmesh,47,100.00,True,1,data;testing,no
light_deep_ai-1.5.9-py310-none-any.whl,light-deep-ai,1.5.9,wheel,47,47,100.00,cpython-310,light_deep_ai,47,100.00,False,0,data;ml,no
dj_rest_auth-7.2.0.tar.gz,dj-rest-auth,7.2.0,tar,46,261,17.62,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38,dj_rest_auth-7.2.0,46,100.00,True,1,security;testing,yes
isage_apps-0.2.5-py3-none-any.whl,isage-apps,0.2.5,wheel,45,67,67.16,cpython-311,sage,45,100.00,False,0,data,no
isagellm_kv_cache-0.5.4.15-py2.py3-none-any.whl,isagellm-kv-cache,0.5.4.15,wheel,44,61,72.13,cpython-311,sagellm_kv_cache;benchmark,44,100.00,False,0,cli,no
isagellm_kv_cache-0.5.4.15.tar.gz,isagellm-kv-cache,0.5.4.15,tar,44,61,72.13,cpython-311,isagellm_kv_cache-0.5.4.15,44,100.00,False,0,cli,no
rtx_deep-1.3.9-py310-none-any.whl,rtx-deep,1.3.9,wheel,43,43,100.00,cpython-310,rtx_deep,43,100.00,False,0,ml,no
barely-1.2.2-py3-none-any.whl,barely,1.2.2,wheel,42,111,37.84,cpython-311;cpython-39,barely,42,100.00,True,1,cli;testing,no
barely-1.2.2.tar.gz,barely,1.2.2,tar,42,111,37.84,cpython-311;cpython-39,barely-1.2.2,42,100.00,True,1,cli;testing,no
blastpipe-2025.0.2-cp311-none-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,blastpipe,2025.0.2,wheel,42,42,100.00,cpython-311,msgspec;blastpipe,42,100.00,False,0,data;testing,no
oracleagentmemory-26.4.0-cp310-none-any.whl,oracleagentmemory,26.4.0,wheel,42,42,100.00,cpython-310,oracleagentmemory,42,100.00,False,0,,no
uncompyle6-3.9.3.tar.gz,uncompyle6,3.9.3,tar,42,82,51.22,cpython-38,uncompyle6-3.9.3,42,100.00,True,15,testing,no
vegan-2.6.0.tar.gz,vegan,2.6.0,tar,42,383,10.97,cpython-310;cpython-311,vegan-2.6.0,42,100.00,True,2,data;network,no
goats-0.2.7.tar.gz,goats,0.2.7,tar,41,70,58.57,cpython-38,goats-0.2.7,41,100.00,True,1,data,no
isage_control_plane_benchmark-0.2.0.6-py2.py3-none-any.whl,isage-control-plane-benchmark,0.2.0.6,wheel,40,52,76.92,cpython-311,sage,40,100.00,False,0,cli;network,no
isage_control_plane_benchmark-0.2.0.6.tar.gz,isage-control-plane-benchmark,0.2.0.6,tar,40,52,76.92,cpython-311,isage_control_plane_benchmark-0.2.0.6,40,100.00,False,0,cli;network,no
moolib-0.0.9b0.tar.gz,moolib,0.0.9b0,tar,40,69,57.97,cpython-38,moolib-0.0.9b0,40,100.00,True,10,testing,no
tipytool-1.0.3-py3-none-any.whl,tipytool,1.0.3,wheel,39,42,92.86,cpython-311,tipytools,39,100.00,False,0,testing,no
tipytool-1.0.3.tar.gz,tipytool,1.0.3,tar,39,42,92.86,cpython-311,tipytool-1.0.3,39,100.00,False,0,testing,no
generalagent-0.3.29.tar.gz,generalagent,0.3.29,tar,38,69,55.07,cpython-38;cpython-39,generalagent-0.3.29,38,100.00,True,4,ml;network,no
gway-0.4.59.tar.gz,gway,0.4.59,tar,38,142,26.76,cpython-311;cpython-313,gway-0.4.59,38,100.00,True,26,data;network,no
lakehouse_ns-2.1.1-py311-none-any.whl,lakehouse-ns,2.1.1,wheel,37,37,100.00,cpython-311,lakehouse,37,100.00,False,0,data,no
staze-0.2.2-py3-none-any.whl,staze,0.2.2,wheel,37,89,41.57,cpython-310,staze,37,100.00,True,3,cli;data;ml;network;testing,no
staze-0.2.2.tar.gz,staze,0.2.2,tar,37,89,41.57,cpython-310,staze-0.2.2,37,100.00,True,3,cli;data;ml;network;testing,no
isagellm_control_plane-0.5.4.14-py2.py3-none-any.whl,isagellm-control-plane,0.5.4.14,wheel,36,43,83.72,cpython-311,sagellm_control,36,100.00,False,0,network,no
isagellm_control_plane-0.5.4.14.tar.gz,isagellm-control-plane,0.5.4.14,tar,36,43,83.72,cpython-311,isagellm_control_plane-0.5.4.14,36,100.00,False,0,network,no
lyapprove-1.0.91-py3-none-any.whl,lyapprove,1.0.91,wheel,36,36,100.00,cpython-310,lyapprove,36,100.00,False,0,network,no
EZFNSetup-5.1.4-py3-none-any.whl,ezfnsetup,5.1.4,wheel,35,35,100.00,cpython-38,EZFNSetup;ezfnSetup,35,100.00,False,0,network;security,yes
hlightreaxmd-1.0.9-cp310-none-any.whl,hlightreaxmd,1.0.9,wheel,35,40,87.50,cpython-310,HlightReaxMD,35,100.00,True,1,data;ml,no
procastro-0.2.2.tar.gz,procastro,0.2.2,tar,35,35,100.00,cpython-313,procastro-0.2.2,35,100.00,True,5,,no
ttshare-0.1003.0-py3-none-any.whl,ttshare,0.1003.0,wheel,35,35,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,ttshare,35,100.00,True,3,security,yes
