input,input_type,files_total,py_files,pyc_files,pycache_dirs,source_less_pyc,has_bytecode,has_dynamic_loading,dynamic_load_hits,magic_numbers,pyc_versions,errors
data/artifacts/pypi/autoa2a/0.0.3/autoa2a-0.0.3-py3-none-any.whl,wheel,25,13,0,0,0,False,False,0,,,
data/artifacts/pypi/auto-mind/0.3.2/auto_mind-0.3.2.tar.gz,tar,24,15,0,0,0,False,True,2,,,
data/artifacts/pypi/automatarr/1.0.1/automatarr-1.0.1-py3-none-any.whl,wheel,5,0,0,0,0,False,False,0,,,
data/artifacts/pypi/automatarr/1.0.1/automatarr-1.0.1.tar.gz,tar,5,0,0,0,0,False,False,0,,,
data/artifacts/pypi/avilla-qqguild-tencent/1.0.0a7/avilla_qqguild_tencent-1.0.0a7-py3-none-any.whl,wheel,44,39,0,0,0,False,False,0,,,
data/artifacts/pypi/audio-tuner-gui/0.12.0/audio_tuner_gui-0.12.0.tar.gz,tar,48,11,0,0,0,False,True,2,,,
data/artifacts/pypi/avilla-qqguild-tencent/1.0.0a7/avilla_qqguild_tencent-1.0.0a7.tar.gz,tar,44,39,0,0,0,False,False,0,,,
data/artifacts/pypi/aleathor/0.1.0a4/aleathor-0.1.0a4.tar.gz,tar,215,19,0,0,0,False,False,0,,,
data/artifacts/pypi/baseapp-django-trench/0.4.4/baseapp_django_trench-0.4.4-py3-none-any.whl,wheel,61,47,0,0,0,False,False,0,,,
data/artifacts/pypi/bearing-new-1/0.2/Bearing_new_1-0.2-py3-none-any.whl,wheel,6,2,0,0,0,False,False,0,,,
data/artifacts/pypi/bearing-new-1/0.2/Bearing_new_1-0.2.tar.gz,tar,13,3,0,0,0,False,False,0,,,
data/artifacts/pypi/bear-epoch-time/1.3.6/bear_epoch_time-1.3.6-py3-none-any.whl,wheel,20,15,0,0,0,False,True,4,,,
data/artifacts/pypi/baseapp-django-trench/0.4.4/baseapp-django-trench-0.4.4.tar.gz,tar,96,49,0,0,0,False,False,0,,,
data/artifacts/pypi/bemplt/0.0.7/bemplt-0.0.7-py3-none-any.whl,wheel,7,2,0,0,0,False,False,0,,,
data/artifacts/pypi/beatcraft/1.1.5/beatcraft-1.1.5-py3-none-any.whl,wheel,23,19,0,0,0,False,False,0,,,
data/artifacts/pypi/bemplt/0.0.7/bemplt-0.0.7.tar.gz,tar,14,3,0,0,0,False,False,0,,,
