package,version,artifact,artifact_type,source_less_pyc,source_less_pyc_pct_in_artifact,python_tags,dynamic_loading_indicator,dynamic_load_hits,keyword_categories
minishare,0.1005.0,minishare-0.1005.0.tar.gz,tar,56,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,True,3,security
oidc-provider,2.3.4,oidc_provider-2.3.4.tar.gz,tar,54,54.55,cpython-38,False,0,data;network;security;testing
gptvm,0.1.3,gptvm-0.1.3-py310-none-any.whl,wheel,51,100.00,cpython-310,False,0,cli;network;security
platenumocr,1.0.0,plateNumOCR-1.0.0.zip,zip,49,76.56,cpython-38,True,4,data;security
dj-rest-auth,7.2.0,dj_rest_auth-7.2.0.tar.gz,tar,46,17.62,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38,True,1,security;testing
ezfnsetup,5.1.4,EZFNSetup-5.1.4-py3-none-any.whl,wheel,35,100.00,cpython-38,False,0,network;security
ttshare,0.1003.0,ttshare-0.1003.0-py3-none-any.whl,wheel,35,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,True,3,security
ttshare,0.1003.0,ttshare-0.1003.0.tar.gz,tar,35,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,True,3,security
ezfnsetupv2,0.1.0,EZFNSetupV2-0.1.0-py3-none-any.whl,wheel,34,100.00,cpython-38,False,0,network;security
neuralecosystems,4.10.0,neuralecosystems-4.10.0-py3-none-any.whl,wheel,34,100.00,cpython-314,False,0,data;security;testing
uniqgift-custom,1.0.7,uniqgift_custom-1.0.7-py3-none-any.whl,wheel,31,3.05,cpython-38,True,32,data;security
nocturnal,1.6.0,nocturnal-1.6.0.tar.gz,tar,29,27.36,cpython-310;cpython-311,False,0,build;security
isagellm-gateway,0.5.4.14,isagellm_gateway-0.5.4.14-py2.py3-none-any.whl,wheel,20,83.33,cpython-311,False,0,network;security
isagellm-gateway,0.5.4.14,isagellm_gateway-0.5.4.14.tar.gz,tar,20,83.33,cpython-311,False,0,network;security
simo,3.5.42,simo-3.5.42-py3-none-any.whl,wheel,15,1.79,cpython-312;cpython-38,True,14,network;security;testing
simo,3.5.42,simo-3.5.42.tar.gz,tar,15,1.79,cpython-312;cpython-38,True,14,network;security;testing
movies-ogv,1.5.0,movies_ogv-1.5.0.tar.gz,tar,14,17.07,cpython-310;cpython-311,False,0,security;testing
lifedata,0.1.1,lifedata-0.1.1-py3-none-any.whl,wheel,13,5.53,cpython-310;cpython-38,True,1,cli;data;security;testing
lifedata,0.1.1,lifedata-0.1.1.tar.gz,tar,13,5.53,cpython-310;cpython-38,True,1,cli;data;security;testing
django-app-novadata,0.1.1,django_app_novadata-0.1.1.tar.gz,tar,10,21.28,cpython-38,False,0,security
tcdr,0.0.1,tcdr-0.0.1-py3-none-any.whl,wheel,9,42.86,cpython-313,True,1,network;security
tcdr,0.0.1,tcdr-0.0.1.tar.gz,tar,9,42.86,cpython-313,True,1,network;security
gandai,1.7.83,gandai-1.7.83-py3-none-any.whl,wheel,6,26.09,cpython-311,False,0,security
gandai,1.7.83,gandai-1.7.83.tar.gz,tar,6,26.09,cpython-311,False,0,security
sequoia,0.0.10,sequoia-0.0.10.tar.gz,tar,6,5.71,cpython-310,True,1,security
python-sdk-auth,0.4.0,python_sdk_auth-0.4.0-py3-none-any.whl,wheel,5,100.00,cpython-39,False,0,security
