python_tag,finding,category,reason,bytecode_status,bytecode_reason,reproduced_by,decompiler_statuses,source_statuses
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d84049333b64.pyc,no_source,Unsupported opcode: <INVALID> (-1) Something TERRIBLE happened! Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d84049333b64.pyc: vector::_M_range_check: __n (which is 102) >= this->size() (which is 13),crash,signal_11:,,decompylepp:exit_1:Unsupported opcode: <INVALID> (-1) Something TERRIBLE happened! Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d84049333b64.pyc: vector::_M_range_check: __n (which is 102) >= this->size() (which is 13),decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d906218175c2.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-d906218175c2/decompylepp.py"", line 22 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d998ecef0da5.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-d998ecef0da5/decompylepp.py"", line 17 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d9b0ec3f5407.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d9b0ec3f5407.pyc: std::bad_cast,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-de13f63d4a69.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-de13f63d4a69/decompylepp.py"", line 13 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-de146f7549ab.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-de146f7549ab/decompylepp.py"", line 7 __py]csec_self__ = object() ^ SyntaxError: unmatched ']'"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e5db341b3864.pyc,compile_failure,"data/rq4/source_candidates/cpython-311/cpython-311-e5db341b3864/decompylepp.py:17: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? if not None(None | None(None, None, None, None, None, None, None, None, None...",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:data/rq4/source_candidates/cpython-311/cpython-311-e5db341b3864/decompylepp.py:17: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? if not None(None | None(None, None, None, None, None, None, None, None, None..."
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e6716043d9b1.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e6716043d9b1.pyc: vector::_M_range_check: __n (which is 52) >= this->size() (which is 2),decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e763a2c86fa7.pyc,no_source,Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e763a2c86fa7.pyc: std::bad_cast,crash,signal_11:,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e763a2c86fa7.pyc: std::bad_cast,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e788feba5ef2.pyc,behavior_divergence,source-derived bytecode behavior diverged: ok,crash,signal_11:,,decompylepp:ok:,decompylepp:ok:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e8befefd0ddb.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-e8befefd0ddb.pyc: vector::_M_range_check: __n (which is 61) >= this->size() (which is 4),decompylepp:not_run:
