python_tag,finding,decompiler,stage,status,failure_class,reason,bytecode_status,decompile_stdout,decompile_stderr,source_path,compiled_pyc
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2ef12fc317db.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-2ef12fc317db/decompylepp.py"", line 6 __pybcsec_self__ = None ^ None ^ (None **= object) ^^^ SyntaxError: in...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-2ef12fc317db/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-33240e526c1b.pyc,decompylepp,decompile,exit_1,expected_rejection,Unsupported opcode: <INVALID> (-1) Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-33240e526c1b.pyc: vector::_M_range_check: __n (which is 110) >= this->size() (which is 27),exit_1,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3e38a1438d9e.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3e38a1438d9e.pyc: vector::_M_range_check: __n (which is 108) >= this->size() (which is 12),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-330615b3933c.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-330615b3933c/decompylepp.py"", line 33 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-330615b3933c/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3abd3305d713.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-3abd3305d713/decompylepp.py"", line 37 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-3abd3305d713/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-4087c64bf825.pyc,decompylepp,decompile,exit_1,expected_rejection,Bad MAGIC! Could not load file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-4087c64bf825.pyc,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-41fe5579485f.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-41fe5579485f.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1904c1b23f3c.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-1904c1b23f3c/decompylepp.py"", line 4 return None >>= None ^^^ SyntaxError: invalid syntax",crash,,,data/rq4/source_candidates/cpython-310/cpython-310-1904c1b23f3c/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2a823146c668.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2a823146c668.pyc: Invalid bytes in ASCII string,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3b38fa0fe001.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-3b38fa0fe001/decompylepp.py"", line 13 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-3b38fa0fe001/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-49b447d47acd.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-49b447d47acd.pyc: vector::_M_range_check: __n (which is 240) >= this->size() (which is 1),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-43dd4dca536c.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-43dd4dca536c/decompylepp.py"", line 15 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-43dd4dca536c/decompylepp.py,
